year,month,title,author,publisher,image,date,genre,sales_count,score,sales
2024,1,흔한남매 과학 탐험대 0 과학의 기초,"흔한남매원 (저) / 김언정,이현진글 / 김덕영그림 / 최진수감수 외 3명정보 더 보기 / 감추기흔한남매김언정이현진김덕영최진수정현철김희목권경아",주니어김영사,https://image.yes24.com/goods/124315134/L,2023년 12월,#재미있는과학,16974.0,9.8,
2024,1,느리게 나이 드는 습관,정희원 (저),한빛라이프,https://image.yes24.com/goods/123318244/L,2023년 12월,#세종도서교양부문선정도서,93087.0,9.7,
2024,1,2024 에듀윌 공인중개사 김민석 합격서 부동산공시법,김민석편 (저),에듀윌,https://image.yes24.com/goods/124213135/L,2024년 01월,#공인중개사교재,10752.0,9.8,
2024,1,2024 에듀윌 공인중개사 이영방 합격서 부동산학개론,이영방편 (저),에듀윌,https://image.yes24.com/goods/124341067/L,2024년 01월,#공인중개사교재,16362.0,10.0,
2024,1,좋은 일이 오려고 그러나 보다 (리커버판),박여름 (저),히읏,https://image.yes24.com/goods/120785860/L,2023년 07월,#크레마클럽에있어요,78210.0,9.3,
2024,1,요즘 어른을 위한 최소한의 세계사,임소미 (저) / 김봉중감수,빅피시,https://image.yes24.com/goods/122433629/L,2023년 09월,#역사지식,64629.0,9.7,
2024,1,읽으면서 바로 써먹는 어린이 세계 여행,한날글그림,파란정원,https://image.yes24.com/goods/124397623/L,2024년 01월,#어린이지식교양,32682.0,9.5,
2024,1,이은경쌤의 초등어휘일력 365,이은경 (저),포레스트북스,https://image.yes24.com/goods/114853233/L,2022년 10월,#이달의굿즈,84981.0,9.8,
2024,1,"2024.2025 큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",최태성 (저),이투스북,https://image.yes24.com/goods/124219505/L,2023년 12월,#한국사모의고사,121239.0,9.8,
2024,1,아주 희미한 빛으로도,최은영 (저),문학동네,https://image.yes24.com/goods/120761010/L,2023년 08월,#이동진의올해의책,46740.0,9.6,
2024,1,돈의 속성 400쇄 리커버,김승호 (저),스노우폭스북스,https://image.yes24.com/goods/90428162/L,2020년 06월,#돈관리의모든것,142344.0,9.5,
2024,1,AI 2024,김덕진 (저),스마트북스,https://image.yes24.com/goods/122880691/L,2023년 10월,#경제전망,16782.0,9.6,
2024,1,100일 아침 습관의 기적,켈리 최 (저),다산북스,https://image.yes24.com/goods/123814844/L,2023년 11월,#습관의힘,9198.0,9.6,
2024,1,나는 배당투자로 매일 스타벅스 커피를 공짜로 마신다,송민섭(수페TV) (저),21세기북스,https://image.yes24.com/goods/123876440/L,2023년 12월,,35481.0,9.7,
2024,1,세상은 이야기로 만들어졌다,"자미라 엘 우아실,프리데만 카릭 (저) / 김현정 (역)",원더박스,https://image.yes24.com/goods/122786183/L,2023년 10월,#표지예쁜책,12708.0,8.7,
2024,1,인생은 순간이다,김성근 (저),다산북스,https://image.yes24.com/goods/123664943/L,2023년 11월,#문학뉴스레터에소개된책,35886.0,9.7,
2024,1,10대를 위한 총균쇠 수업,김정진 (저),넥스트씨,https://image.yes24.com/goods/121911671/L,2023년 08월,#서울대생은뭐읽지,34950.0,9.7,
2024,1,모순,양귀자 (저),쓰다,https://image.yes24.com/goods/8759796/L,2013년 04월,#예스미츠에소개된책,488583.0,9.6,
2024,1,원씽 THE ONE THING,"게리 켈러,제이 파파산 (저) / 구세희 (역)",비즈니스북스,https://image.yes24.com/goods/9349031/L,2013년 08월,#예스미츠에소개된책,90594.0,9.4,
2024,1,오늘부터 초등 지식왕,최선민 (저),클랩북스,https://image.yes24.com/goods/123899667/L,2023년 12월,#어린이교양,16332.0,9.8,
2024,1,원피스 ONE PIECE 107,오다 에이이치로글그림,대원,https://image.yes24.com/goods/124300539/L,2024년 01월,#너내동료가돼라,22734.0,9.7,
2024,1,이은경쌤의 사자성어 속담 일력 365,이은경 (저),포레스트북스,https://image.yes24.com/goods/122865851/L,2023년 10월,#속담,50391.0,9.6,
2024,1,2024 에듀윌 공인중개사 심정욱 합격서 민법 및 민사특별법,심정욱편 (저),에듀윌,https://image.yes24.com/goods/124225344/L,2024년 01월,#공인중개사교재,14832.0,9.9,
2024,1,부의 추월차선 (10주년 스페셜 에디션),엠제이 드마코 (저) / 신소영 (역),토트출판사,https://image.yes24.com/goods/106369008/L,2022년 02월,#책읽아웃,54684.0,8.8,
2024,1,용선생 교과서 세계사 1,"사회평론 역사연구소,송용운,김언진,길병민,한승준글 외 5명정보 더 보기 / 감추기사회평론 역사연구소송용운김언진길병민한승준김보미정엄지뭉선생이우일전국초등사회교과모임",사회평론,https://image.yes24.com/goods/124106975/L,2023년 12월,#세계사,73242.0,9.9,
2024,1,"2024 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화 (1,2,3급)",최태성 (저),이투스북,https://image.yes24.com/goods/124539805/L,2024년 01월,#모두의별별한국사,116274.0,9.9,
2024,1,해커스 토익 RC Reading(리딩) 기본서,David Cho (저),해커스어학연구소,https://image.yes24.com/goods/116020437/L,2024년 08월,#너만알려줄게고득점비법,191040.0,9.7,
2024,1,손실 없는 투자원칙,남석관 (저),모루,https://image.yes24.com/goods/123153430/L,2023년 10월,,19620.0,8.9,
2024,1,이토록 공부가 재미있어지는 순간,박성혁 (저),다산북스,https://image.yes24.com/goods/16384156/L,2023년 08월,#독서지도안,100308.0,9.6,
2024,1,키위엔 영어회화 하루 5분의 기적,박강준 (저),키위엔,https://image.yes24.com/goods/115475489/L,2022년 12월,#영어는네이티브처럼,56574.0,9.6,
2024,1,구의 증명,최진영 (저),은행나무,https://image.yes24.com/goods/118578901/L,2023년 04월,#내별의책장_스트레이키즈,149655.0,9.1,
2024,1,결국 해내는 사람들의 원칙,"바바라 피즈,앨런 피즈 (저) / 이재경 (역)",반니,https://image.yes24.com/goods/96072143/L,2020년 12월,#뇌과학,60642.0,9.6,
2024,1,데일 카네기 자기관리론,데일 카네기 (저) / 임상훈 (역),현대지성,https://image.yes24.com/goods/96794060/L,2021년 01월,#뉴진스가읽은책,91002.0,9.7,
2024,1,하와이 대저택 100일 미라클,하와이 대저택 (저),메가스터디북스,https://image.yes24.com/goods/124719615/L,2024년 01월,,6270.0,6.6,
2024,1,사랑인 줄 알았는데 부정맥,"사단법인 전국유료실버타운협회,  포푸라샤 편집부 (저) / 이지수 (역)",포레스트북스,https://image.yes24.com/goods/124472824/L,2024년 01월,#문학뉴스레터에소개된책,26601.0,9.2,
2024,1,도시와 그 불확실한 벽,무라카미 하루키 (저) / 홍은주 (역),문학동네,https://image.yes24.com/goods/122090075/L,2023년 09월,#올해의책,28824.0,9.2,
2024,1,너는 다시 외로워질 것이다,공지영 (저),해냄,https://image.yes24.com/goods/124095113/L,2023년 12월,#크레마클럽에있어요,6933.0,9.4,
2024,1,해커스 일본어 첫걸음 : 일본어 기초 20일 독학 완성!,해커스 일본어연구소 (저),해커스어학연구소,https://image.yes24.com/goods/102502665/L,2024년 05월,#분철,163266.0,9.6,
2024,1,아주 작은 습관의 힘,제임스 클리어 (저) / 이한이 (역),비즈니스북스,https://image.yes24.com/goods/69655504/L,2019년 02월,#습관의힘,75879.0,9.4,
2024,1,진짜 쓰는 실무 엑셀,전진권 (저),제이펍,https://image.yes24.com/goods/106711883/L,2022년 02월,#분철,134562.0,9.8,
2024,1,성공하는 리더들의 영어 필사 100일의 기적,"퍼포먼스 코치 제이,퍼포먼스 코치 리아 (저)",넥서스,https://image.yes24.com/goods/123676271/L,2023년 11월,#크레마클럽에있어요,33996.0,9.7,
2024,1,트러스트,에르난 디아스 (저) / 강동혁 (역),문학동네,https://image.yes24.com/goods/117627077/L,2023년 02월,#뉴욕타임즈_21세기_100대도서,19068.0,9.2,
2024,1,별의 길,양세형 (저),이야기장수,https://image.yes24.com/goods/123930960/L,2023년 12월,#감동,4188.0,8.8,
2024,1,타이탄의 도구들 (블랙 에디션),"팀 페리스 (저) / 박선령,정지현 (역)",토네이도,https://image.yes24.com/goods/37533966/L,2022년 06월,#책읽아웃,79206.0,9.3,
2024,1,자본주의,"EBS 〈자본주의〉제작팀,정지은,고희정 (저) / EBS MEDIA기획",가나출판사,https://image.yes24.com/goods/11081680/L,2013년 09월,#크레마클럽에있어요,140043.0,9.5,
2024,1,5년 후 나에게 - Q&A a day (오리지널),포터 스타일 (저) / 정지현 (역),토네이도,https://image.yes24.com/goods/22793441/L,2022년 11월,#나를사랑하는나에게,45099.0,9.4,
2024,1,부자 아빠 가난한 아빠 20주년 특별 기념판,로버트 기요사키 (저) / 안진환 (역),민음인,https://image.yes24.com/goods/58774995/L,2018년 02월,#이달의굿즈,96969.0,9.6,
2024,1,2024~2025 대한민국 산업지도,이래학 (저),경이로움,https://image.yes24.com/goods/124408170/L,2024년 01월,#크레마클럽에있어요,6426.0,9.7,
